I,Q,label
-5.343170790086895217e-01,-2.372396918875054883e-01,0.000000000000000000e+00
1.180406985990293922e+00,-1.463776939326649318e+00,1.000000000000000000e+00
-1.154402402571448105e+00,-9.293655257421957749e-01,0.000000000000000000e+00
-1.365311670407590272e+00,-2.595957285682717330e-01,0.000000000000000000e+00
-1.154750065366256795e-01,-1.409912937547801004e+00,0.000000000000000000e+00
-1.513721976481700038e-01,-4.983889244127412965e-01,1.000000000000000000e+00
-7.624649895235781072e-01,-5.564169555087177255e-01,0.000000000000000000e+00
-1.502408896294452845e+00,-1.475012622972335041e+00,0.000000000000000000e+00
-7.025732170381776553e-01,-1.151834814613077684e+00,0.000000000000000000e+00
4.801623311576469488e-01,-8.639001453216983428e-01,1.000000000000000000e+00
-1.239005281588566376e+00,-1.246514854006095296e+00,0.000000000000000000e+00
-6.450472510413197691e-01,-9.181056944660741514e-01,0.000000000000000000e+00
-3.493876278528242896e-01,-1.737646157414383108e+00,0.000000000000000000e+00
-1.472252152265080216e+00,-5.364867005461940730e-01,0.000000000000000000e+00
8.713520728870645105e-01,-1.549568379773724525e+00,1.000000000000000000e+00
7.038092086399228009e-02,-1.117487794349019348e+00,0.000000000000000000e+00
1.294843658929182073e+00,-1.141565870790393289e+00,1.000000000000000000e+00
1.735569029338262403e+00,-2.976546902738455014e-01,1.000000000000000000e+00
5.807129926577320189e-01,-6.895396360182699524e-01,1.000000000000000000e+00
-3.825070921046954120e-01,-4.910093327292742726e-01,0.000000000000000000e+00
2.227333366072165033e-01,-8.322993814962280634e-01,1.000000000000000000e+00
-1.759828234724752916e-01,-2.054694854707005636e+00,0.000000000000000000e+00
1.135658105643811977e-01,-2.194941200375498003e+00,1.000000000000000000e+00
5.704916496749898869e-01,-8.165539835974665595e-01,1.000000000000000000e+00
1.456373592945282791e+00,-1.138277721285560151e+00,1.000000000000000000e+00
1.519502839682914663e+00,-1.865375840602893298e+00,1.000000000000000000e+00
-1.464961527803085861e-01,-1.203098960943757012e+00,1.000000000000000000e+00
8.972277913669224336e-01,-1.191672485542494275e+00,1.000000000000000000e+00
-3.285259831226695626e-01,-1.219885131251841948e+00,1.000000000000000000e+00
5.296031664484213142e-02,-8.404888370804284303e-01,1.000000000000000000e+00
-5.218959438488450786e-01,-1.645265004659126173e+00,0.000000000000000000e+00
-9.621285255656160107e-01,-1.704931872439924501e+00,0.000000000000000000e+00
6.738555182606827954e-01,-6.977539512448285297e-01,1.000000000000000000e+00
2.123320437294968777e-01,-9.233018537365255130e-01,1.000000000000000000e+00
4.400662577110483475e-01,-1.571761527626619692e+00,1.000000000000000000e+00
-7.587102468745481332e-01,-1.692946272705135646e+00,0.000000000000000000e+00
4.283704142236777201e-01,-1.774264057789872062e+00,1.000000000000000000e+00
2.771674995609254566e-01,-1.157693335509584198e+00,0.000000000000000000e+00
-1.055057820893561926e+00,-1.068335156128337626e+00,0.000000000000000000e+00
-7.613590917426841242e-01,-1.285809911262060012e+00,0.000000000000000000e+00
-3.981117168755565761e-01,-7.965712564717960520e-01,0.000000000000000000e+00
-9.704456407025329190e-01,-1.463234231817788666e+00,0.000000000000000000e+00
5.676692183214466780e-01,-2.326285693863240134e+00,1.000000000000000000e+00
-5.240046420200739075e-02,-4.918879777731853808e-01,1.000000000000000000e+00
1.527678923647910469e+00,-1.299843131273636931e+00,1.000000000000000000e+00
9.934735484251520088e-01,-1.019700034223679719e+00,1.000000000000000000e+00
2.244635471124887705e+00,-6.155376557781593316e-01,1.000000000000000000e+00
-7.691538626376523968e-01,-1.653095331795661593e+00,0.000000000000000000e+00
-9.802809323151751020e-02,-1.073593293561836193e+00,1.000000000000000000e+00
3.270196942551170660e-01,-1.886451966294284688e+00,1.000000000000000000e+00
-1.028481509018532414e+00,-1.716099113302646195e+00,0.000000000000000000e+00
1.548765884433551232e+00,-7.345052330207224589e-01,1.000000000000000000e+00
-7.091813875555779134e-01,-4.353530420504356790e-01,0.000000000000000000e+00
7.438792207210779273e-01,-1.605967212159579605e+00,1.000000000000000000e+00
5.636697173755944590e-02,-9.058700896531193258e-01,0.000000000000000000e+00
1.865719897340405442e-01,-1.270494450537251740e+00,1.000000000000000000e+00
2.673859402048901490e-01,-1.866724976977615746e+00,1.000000000000000000e+00
-2.421062931314484912e-01,-2.206167912603833603e-01,0.000000000000000000e+00
-1.404478853806839789e+00,-8.938404931501631179e-01,0.000000000000000000e+00
-1.030516351458182545e+00,-1.418887803377796519e+00,0.000000000000000000e+00
-1.001392029016703766e+00,-1.607320496335356674e+00,0.000000000000000000e+00
-6.809342529248556541e-01,-1.590800169700967492e+00,0.000000000000000000e+00
-5.699666540073498044e-01,-1.200444166220017150e+00,0.000000000000000000e+00
-8.246690903304740861e-01,-1.629106942516247436e+00,0.000000000000000000e+00
-9.935807321814356108e-01,-7.976294985825705952e-01,0.000000000000000000e+00
9.556536607094591185e-01,-1.664102733894723185e+00,1.000000000000000000e+00
7.548612196118816842e-01,-7.996315498095531993e-01,1.000000000000000000e+00
-1.539897707457955178e+00,-9.036450153054811363e-01,0.000000000000000000e+00
3.738831874243453979e-01,-8.900257771988679956e-01,1.000000000000000000e+00
3.235654886260103114e-01,-2.077766161827707236e+00,1.000000000000000000e+00
-1.085761520443125905e-01,-1.151282638164756733e+00,1.000000000000000000e+00
8.350563177580097030e-01,-1.627483424047651894e+00,1.000000000000000000e+00
-3.858988375085822264e-01,-2.006085142629928431e+00,0.000000000000000000e+00
6.721551675736104903e-01,-1.780833211376676051e+00,1.000000000000000000e+00
-1.031113120798348826e+00,-1.151625775837241683e+00,0.000000000000000000e+00
2.749883842552925395e-01,-1.367602883610360420e+00,1.000000000000000000e+00
1.208341471504489117e+00,-1.463771046257022146e+00,1.000000000000000000e+00
1.123041122929839597e+00,-1.740178538824256771e+00,1.000000000000000000e+00
