I,Q
-3.431395678775422259e-02,6.755078762435001716e-02
-2.420268502887518158e-02,-7.562644826494378802e-02
8.800283230159768044e-02,-6.653525656654631082e-02
1.217805326524266374e-01,-1.088983866097343878e-01
1.160633430862469950e-01,-3.497072700616437463e-02
1.428593023538363149e-01,8.084926335237645895e-03
1.584188238404392601e-01,5.142928896616704229e-03
1.636559345742625848e-01,7.467095552994022951e-03
2.666156236149026526e-01,-7.055284155330408813e-02
1.695381639894513182e-01,4.015773713070110162e-02
1.924804257994088275e-01,1.198137591194989825e-02
1.993932505936351629e-01,3.665271407329992459e-02
3.367110120343262958e-01,-9.463810887950259432e-02
3.780545729813021283e-01,1.557454293988949461e-02
3.940011338743749092e-01,-5.938826199587635135e-02
4.402549649671582688e-01,-1.986616262756809442e-02
3.437100080813615399e-01,2.671824493181916907e-02
4.108426799491182169e-01,4.554680312795658485e-03
4.157865028611896219e-01,-4.257699898896594171e-02
5.109558184849143370e-01,3.136578092209142449e-04
5.056057651103277317e-01,-7.657676576218215569e-02
5.145176296340454591e-01,5.751336979491480927e-02
5.639224797056512362e-01,-1.026420097481256337e-02
5.827403510473168069e-01,5.592749721276629726e-02
5.272389434525081020e-01,-2.632658435480215303e-02
6.007789125661876506e-01,-2.617879942032914908e-02
5.965431937172241961e-01,-3.820933933189232801e-02
5.527391953426556981e-01,4.380869658465377098e-02
6.942380494229244414e-01,-3.547155786642379460e-02
7.143726865866335540e-01,3.222977162075882362e-02
7.119719241832814793e-01,-1.912261988346451377e-02
6.396470209465728862e-01,-9.879816499458099477e-02
7.665281387078568542e-01,-2.851570338932330612e-02
7.069530026439057036e-01,-5.895541071814241335e-02
8.975855496121277755e-01,1.695136184116875474e-03
7.737793955251883737e-01,-5.952038678372451042e-02
8.996421641202350106e-01,4.629875503573083889e-02
9.163308857902332516e-01,-4.553793017651361699e-03
8.704959249058782378e-01,-8.879799737936948378e-03
8.976481920604201248e-01,3.279460688937912982e-02
9.885737454811469593e-01,4.819534670379312796e-02
9.287804090732395546e-01,-1.004937588482582344e-03
9.798319139264837219e-01,-3.856001497746452955e-02
9.759256924263907118e-01,-8.869848080560648051e-02
9.552341568794883164e-01,-3.430248785175900317e-02
9.753891426666623232e-01,-3.086061233239808035e-02
1.121027004422127993e+00,5.352872649614838323e-03
1.084138389112454082e+00,-1.725734405690135947e-02
1.084615869545391798e+00,3.439664860257140439e-02
1.165412465331355563e+00,-3.064916356353447613e-02
1.229573425479162818e+00,-2.852058342647088417e-03
1.202292152338613196e+00,5.919937215984447110e-02
1.227700690205591805e+00,1.709126069774832488e-02
1.276271232068490136e+00,-3.001877084428225713e-03
1.181473621924762352e+00,-3.009722209675885427e-02
1.272132326015881443e+00,-3.166156983574885259e-02
1.323498655883854180e+00,-4.253066264759738924e-02
1.375626189679391320e+00,-2.705034328914496938e-02
1.279166081352504314e+00,3.778329193721573220e-02
1.349604301970737330e+00,-1.109441356461343675e-02
1.341589186966066549e+00,-6.748865346906156304e-02
1.396259850056668084e+00,8.840846465298918266e-02
1.443859848606289464e+00,1.599825955725815360e-02
1.539243226073819359e+00,-7.034717002565847588e-02
1.478719377124632528e+00,-2.209244636204119386e-02
1.496125347581071185e+00,5.544319141420893035e-03
1.577845361718549722e+00,8.522960466486885489e-02
1.536284240021146053e+00,-5.540562291294346547e-02
1.606474720192164085e+00,4.880203596779733588e-02
1.599200333085365022e+00,6.997432134861715503e-02
1.569326630481299167e+00,-3.143271525372851039e-02
1.584202810750611201e+00,-1.387568094301167357e-02
1.575772650485300685e+00,-5.181546236868851685e-02
1.684414996075698667e+00,-1.017305705401524464e-02
1.725426570066727505e+00,-1.829498717146558432e-03
1.795604525668032414e+00,3.298249990411852156e-02
1.789425121784142148e+00,5.450917355102233991e-02
1.834991448163803662e+00,-3.740480323108235500e-02
1.754791857593290816e+00,-9.836625321129972843e-02
1.722540699898923888e+00,-1.062238963812106368e-03
1.831084250426731064e+00,1.467687649843202671e-02
1.840753254543105122e+00,1.247088438425208307e-02
1.869212655832190872e+00,-1.633366237545219937e-02
1.917914628906568719e+00,6.237604983196725315e-03
1.927013762361338589e+00,7.577224041761237983e-02
1.971999397974239843e+00,1.908670844812546466e-02
1.975280210002592796e+00,-1.866842125015422127e-02
1.962280233799633677e+00,-2.500989085479978988e-02
2.019184026169025703e+00,-8.492617883886532590e-03
2.041110974830030678e+00,8.183699809153199833e-02
2.010395145395599492e+00,-9.165035476309865009e-03
2.070275523203182200e+00,-9.897172260353987155e-04
1.961318475061219591e+00,-2.411567854681515022e-02
2.101145131362123220e+00,5.494916787209824099e-02
2.026474685819528165e+00,9.799186273723375917e-02
2.141001914588446020e+00,2.253065247156941717e-02
2.107960969910851023e+00,4.138645189271287703e-03
2.180254820975139118e+00,1.839141658711739100e-03
2.146993854885388853e+00,-1.192153394392872906e-01
2.079434154229009568e+00,3.725754321424087218e-02
2.212214844066934472e+00,6.708320799792177186e-03
2.202609775083449684e+00,2.141710253303624745e-02
2.303546417939572155e+00,-3.557310970418524343e-02
2.266108127760603885e+00,-1.922284394885458159e-02
2.281131224758383702e+00,-2.055124682515865192e-02
2.217830766972327616e+00,5.108114920365194878e-02
2.261321780878029930e+00,-1.893799183015466847e-02
2.305664651588517966e+00,1.041330161054898895e-01
2.402228581618035985e+00,2.154312095075187200e-02
2.454125717037366261e+00,-6.378413299978658024e-02
2.326060285929543170e+00,-6.427314662597842856e-03
2.419662774946290895e+00,-3.258375610782078546e-02
2.274971203220057081e+00,-1.097191234910012136e-01
2.356857217084269873e+00,7.997354700568948260e-02
2.400054724255213490e+00,3.515712711100019844e-02
2.394892265025033939e+00,2.666036589496562775e-02
2.381243989484313150e+00,8.270183014985213119e-03
2.477303555231053167e+00,-6.910087843462188462e-02
2.456385186480352534e+00,-2.418085697777183629e-02
2.512783609086757242e+00,4.208903873920064043e-02
2.557978961187123090e+00,-5.256100148912513925e-02
2.553539018901704427e+00,-1.265884658125406848e-01
2.573357033590577991e+00,-1.135530038904630085e-02
2.531535940782651650e+00,-7.087877701376929865e-03
2.479843896847785167e+00,6.778170820735457923e-03
2.611496283879091607e+00,3.642593217572680925e-02
2.554739976807850255e+00,3.188029061156043287e-02
2.554577238085223190e+00,1.293849026219608123e-02
2.594697932475547919e+00,5.977656940433546950e-02
2.552101307027963450e+00,-7.594848904066574258e-02
2.576230809913132358e+00,2.522909072386951557e-02
2.626372765883711491e+00,3.132691816684712166e-02
2.646390931375115940e+00,-6.197811430401198307e-02
2.599468451264363988e+00,-7.514353043411947652e-02
2.623264721949603473e+00,-3.729710632378006874e-02
2.695869886817942263e+00,-3.307707212576459915e-02
2.663114661879513623e+00,3.767097317512153876e-02
2.747572117963832827e+00,-3.072693918455474821e-02
2.715929464051651365e+00,-4.281742591406020176e-02
2.725791981625325100e+00,-3.058168683472795718e-02
2.602058900442805189e+00,5.593161670771058802e-02
2.704590001377552788e+00,6.521687188476067189e-04
2.658091062103002500e+00,-8.962551267845590350e-03
2.633571491134164333e+00,-5.500274935052573873e-03
2.675945756094870731e+00,6.460301671632613651e-02
2.721314937271355205e+00,-3.745858633016209416e-02
2.699905143718067002e+00,6.577541454700519541e-02
2.625776995747050258e+00,1.052481494607518213e-02
2.700355958734874662e+00,-8.020969098767385952e-03
2.628216028551169536e+00,1.250450248967140687e-01
2.671536963031373446e+00,-5.278197448992982127e-02
2.646279588672724614e+00,-1.768428797835030347e-02
2.647771169912827904e+00,-6.162156195820001070e-02
2.690747942573139984e+00,4.762309852680847444e-02
2.593515304598488225e+00,8.445944668258395516e-02
2.737656111499338962e+00,8.349613907023195614e-02
2.545579242854347779e+00,6.119743765730023544e-02
2.601976114746104685e+00,-9.881023389798281389e-03
2.643111714408409085e+00,-1.826204887449232525e-02
2.645232181714269881e+00,-8.355848862470326155e-02
2.603417185091842612e+00,1.017936767590896380e-01
2.599565764892636022e+00,2.344890390742338654e-02
2.616509916808898328e+00,-2.459784524347415416e-02
2.575140456176088666e+00,6.640284444934838048e-02
2.644281176882111506e+00,-4.863822583800004457e-02
2.604638505524857983e+00,2.033110171113370473e-02
2.597400054312364759e+00,-8.631456714541733966e-03
2.499115910556533038e+00,3.193385699401504740e-02
2.535873186991271400e+00,-3.178676959306073451e-03
2.512524588448061369e+00,-7.254639455556120831e-02
2.460840851370140303e+00,3.778818633501891330e-03
